D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_20_32_Applejack_Happy Singing___My friends along..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_20_32_Applejack_Happy Singing___My friends along..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Broadcast Stems\Smoothies\00_01_46_Applejack_Happy Singing_Noisy__Move!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Broadcast Stems\Smoothies\00_01_46_Applejack_Happy Singing_Noisy__Move!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_262_mic1.flac|p234|His second was a beauty.
D:\MEGASyncDownloads\Master file 2\Songs\03_17_09_Pinkie_Happy Singing__A cling clang shake your thang coinky dink world..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\03_17_09_Pinkie_Happy Singing__A cling clang shake your thang coinky dink world.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_40_42_Rarity_Happy Singing___That's okay!.flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_40_42_Rarity_Happy Singing___That's okay!.txt
D:\MEGASyncDownloads\Master file 2\Songs\01_51_04_Rainbow_Happy Singing_Noisy_No winter can come here now..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\01_51_04_Rainbow_Happy Singing_Noisy_No winter can come here now.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_33_10_Sunset Shimmer_Neutral___Repeat after me..flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_33_10_Sunset Shimmer_Neutral___Repeat after me..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_273_mic1.flac|p234|Clearly, the stakes are high.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_308_mic1.flac|p225|I thought his speech was a disgrace.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_005_mic1.flac|p299|She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_292_mic1.flac|p234|His leader wanted to celebrate.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_172_mic1.flac|p300|It was horrible, that musical apartheid.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_44_47_Rarity_Rap Singing___And take control!.flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_44_47_Rarity_Rap Singing___And take control!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_036_mic1.flac|p226|It can't just be a cynical marketing exercise.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_243_mic1.flac|p300|It need not be like that.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_15_38_Rainbow_Happy Singing___Gonna break free, yeah, I'm running..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_15_38_Rainbow_Happy Singing___Gonna break free, yeah, I'm running..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_14_39_Rainbow_Happy Singing___A light shining brighter..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_14_39_Rainbow_Happy Singing___A light shining brighter..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_37_42_Sunset Shimmer_Happy Singing_Noisy__Hoppin' on so..flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_37_42_Sunset Shimmer_Happy Singing_Noisy__Hoppin' on so..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_27_05_Applejack_Happy Singing___Call me crazy, misunderstood!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_27_05_Applejack_Happy Singing___Call me crazy, misunderstood!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_21_19_Pinkie_Happy Singing___Steam!.flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_21_19_Pinkie_Happy Singing___Steam!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_20_07_Rainbow_Happy Singing___In this moment..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_20_07_Rainbow_Happy Singing___In this moment..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p225\p225_123_mic1.flac|p225|It is the latter which has prompted the warning.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p226\p226_367_mic1.flac|p226|Equity declined to comment.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_02_38_Applejack_Happy Singing___Shining like gold!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_02_38_Applejack_Happy Singing___Shining like gold!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p299\p299_174_mic1.flac|p299|He was as good as his word.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_22_05_Rainbow_Happy Singing___Gonna break free, yeah, I'm running..flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Run And Break Free\00_22_05_Rainbow_Happy Singing___Gonna break free, yeah, I'm running..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_05_05_Applejack_Happy Singing___Light up our dreams!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_05_05_Applejack_Happy Singing___Light up our dreams!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_037_mic1.flac|p234|However, they continued in their pursuit of victory.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_29_47_Rarity_Happy_Noisy__Oh, oh, oh!.flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_29_47_Rarity_Happy_Noisy__Oh, oh, oh!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_11_13_Applejack_Rap Singing___Invite my friends, clean the barn!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_11_13_Applejack_Rap Singing___Invite my friends, clean the barn!.txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_300_mic1.flac|p234|And it was this one.
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p234\p234_270_mic1.flac|p234|This would indicate a surge in inflation was unlikely.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Broadcast Stems\We've Come So Far\00_00_32_Sunset Shimmer_Happy Singing___And if I need reminding..flac|Sunset Shimmer|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Broadcast Stems\We've Come So Far\00_00_32_Sunset Shimmer_Happy Singing___And if I need reminding..txt
D:\MEGASyncDownloads\Master file 2\Songs\00_16_36_Pinkie_Happy Singing_Noisy_You reach your right hoof in, You reach your right hoof out..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_16_36_Pinkie_Happy Singing_Noisy_You reach your right hoof in, You reach your right hoof out.txt
D:\MEGASyncDownloads\Master file 2\Songs\03_17_52_Pinkie_Happy Singing__A cling clang shake your thang coinky dink world..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\03_17_52_Pinkie_Happy Singing__A cling clang shake your thang coinky dink world.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_25_51_Rarity_Happy Singing___Throw your hands up higher, turn up the amplifier..flac|Rarity|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_25_51_Rarity_Happy Singing___Throw your hands up higher, turn up the amplifier..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_21_18_Applejack_Happy Singing___Time..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_21_18_Applejack_Happy Singing___Time..txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_11_26_Rainbow_Happy Singing___Steal the show, yeah!.flac|Rainbow|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\All Good\00_11_26_Rainbow_Happy Singing___Steal the show, yeah!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Cheer You On\00_16_13_Flash Sentry_Happy Singing___So into you..flac|Flash Sentry|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Cheer You On\00_16_13_Flash Sentry_Happy Singing___So into you..txt
D:\MEGASyncDownloads\Master file 2\Songs\00_01_07_Pinkie_Happy Singing__Oh the Grand Galloping Gala is the best place for me..flac|Pinkie|D:\MEGASyncDownloads\Master file 2\Songs\00_01_07_Pinkie_Happy Singing__Oh the Grand Galloping Gala is the best place for me.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_01_36_Applejack_Happy Singing___Make a, make a plan..flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Get The Show On The Road\00_01_36_Applejack_Happy Singing___Make a, make a plan..txt
D:\DataAugmentation\VCTK-Corpus-0.92\wav48_silence_trimmed\p300\p300_026_mic1.flac|p300|This is not a floating Las Vegas.
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_04_39_Applejack_Happy_Noisy__Hey!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\I'm On A Yacht\00_04_39_Applejack_Happy_Noisy__Hey!.txt
D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_17_51_Applejack_Rap Singing___Strum guitar and sing this yarn!.flac|Applejack|D:\MEGASyncDownloads\Master file 2\Songs\Extra\TrueExport\Studio Recordings\Five To Nine\00_17_51_Applejack_Rap Singing___Strum guitar and sing this yarn!.txt
